##,#######################################################,##
##,                                                       ,##
##,                 TSL MAT numbers                       ,##
##, associated with the ENDF/B-VIII.1-BetaX release       ,##
##,                                                       ,##
##, Note: empty file field means MAT number is reserved.  ,##
##,                                                       ,##
##,                                                       ,##
##,#######################################################,##
##,                                                       ,  
##  MAT number, ENDF-6 file name                ,    Description                                            
##            ,                                 ,                                                           
        8305  , tsl-UinUN-5P.endf               ,    U in UN-5p                    
        8310  , tsl-UinUN-10P.endf              ,    U in UN-10p
        8347  , tsl-UinUN-100P.endf             ,    U in UN-100P
        8348  , tsl-UinUN-HALEU.endf            ,    U in UN-HALEU
        8349  , tsl-UinUN-HEU.endf              ,    U in UN-HEU                   
        8355  , tsl-NinUN-5P.endf               ,    N in UN-5p
        8360  , tsl-NinUN-10P.endf              ,    N in UN-10p
        8397  , tsl-NinUN-100P.endf             ,    N in UN-100P
        8398  , tsl-NinUN-HALEU.endf            ,    N in UN-HALEU
        8399  , tsl-NinUN-HEU.endf              ,    N in UN-HEU
        8400  ,                                 ,    U in UH3                      
        8450  , tsl-HinUH3.endf                 ,    H in UH3                      
        8500  ,                                 ,    U in UF6                      
        8550  ,                                 ,    F in UF6                      
